name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
Genuit Group,GEN,GEN.L,Construction & Materials,2022,GBP,622200000.0,247600000.0,80500000.0,36500000.0,0.3979,0.1294,0.0587,2026-08-10
Genuit Group,GEN,GEN.L,Construction & Materials,2023,GBP,586500000.0,245800000.0,76300000.0,38500000.0,0.4191,0.1301,0.0656,2026-08-10
Genuit Group,GEN,GEN.L,Construction & Materials,2024,GBP,561300000.0,250800000.0,78800000.0,33500000.0,0.4468,0.1404,0.0597,2026-08-10
Genuit Group,GEN,GEN.L,Construction & Materials,2025,GBP,602100000.0,265100000.0,79400000.0,45200000.0,0.4403,0.1319,0.0751,2026-08-10
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,2022,GBP,593400000.0,147900000.0,51400000.0,40900000.0,0.2492,0.0866,0.0689,2026-08-10
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,2023,GBP,689700000.0,187500000.0,44000000.0,33300000.0,0.2719,0.0638,0.0483,2026-08-10
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,2024,GBP,668800000.0,178700000.0,6400000.0,7900000.0,0.2672,0.0096,0.0118,2026-08-10
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,2025,GBP,672800000.0,,42400000.0,19300000.0,,0.063,0.0287,2026-08-10
Goodwin,GDWN,GDWN.L,General Industrials,2022,GBP,144108000.0,42704000.0,18307000.0,12980000.0,0.2963,0.127,0.0901,2026-08-10
Goodwin,GDWN,GDWN.L,General Industrials,2023,GBP,185742000.0,68769000.0,20313000.0,15904000.0,0.3702,0.1094,0.0856,2026-08-10
Goodwin,GDWN,GDWN.L,General Industrials,2024,GBP,191258000.0,77887000.0,26895000.0,16902000.0,0.4072,0.1406,0.0884,2026-08-10
Goodwin,GDWN,GDWN.L,General Industrials,2025,GBP,219709000.0,91609000.0,37112000.0,24569000.0,0.417,0.1689,0.1118,2026-08-10
Grafton Group,GFTU,GFTU.L,Support Services,2022,GBP,2301482000.0,868654000.0,240943000.0,208618000.0,0.3774,0.1047,0.0906,2026-08-10
Grafton Group,GFTU,GFTU.L,Support Services,2023,GBP,2319242000.0,851367000.0,184083000.0,148723000.0,0.3671,0.0794,0.0641,2026-08-10
Grafton Group,GFTU,GFTU.L,Support Services,2024,GBP,2282252000.0,845892000.0,153829000.0,122013000.0,0.3706,0.0674,0.0535,2026-08-10
Grafton Group,GFTU,GFTU.L,Support Services,2025,GBP,2519603000.0,955435000.0,162401000.0,136568000.0,0.3792,0.0645,0.0542,2026-08-10
